speed_neighbor_1,speed_neighbor_2,speed_neighbor_3,speed_neighbor_4,speed_neighbor_5,speed_neighbor_6,speed_neighbor_7,speed_neighbor_8,speed_neighbor_9,shortest_distance,number_of_links,number_of_left_turn,number_of_right_turn,number_of_u_turn,freq_road_type_1,freq_road_type_2,freq_road_type_3,freq_road_type_4,freq_road_type_5,freq_road_type_6,angle,road_type_1,road_type_2,road_type_3,road_type_4,road_type_5,road_type_6,ratio
0.0,0.0003701663326854095,0.000176505161864847,0.0005274310531844704,0.0,-0.0005171408024612269,-0.00015352907554300532,0.000987320252269514,0.0002962375503178745,-0.002047755055276752,-0.00014911579798358927,0.00037394011092684964,-0.008985007093407766,0.0,0.011253056262128485,-0.0014059830901174573,-0.013325576393924838,-0.0045199781039745295,-0.001417554063017286,0.002488501766065699,0.0032585318899963156,0.0020701462029739186,-0.0009124257198131335,0.0015422232426712682,-0.0010132671622622414,-0.002584635343709739,0.0011183316691789759,0.001987438379784996
0.0003580842737862382,-0.0003355794561959813,0.00032092054859141566,-0.00034595531006202613,-0.0001012205485049505,-0.0001541916501658931,-0.0012388083900671714,-0.0007012680490754384,-0.0001428918677608011,-0.0011967868426302878,-0.0006417960766673078,-0.0009429288858832741,-0.009633835536437695,0.0,0.010117759818829581,0.00045736974805232994,0.0017146643339412692,-0.004892183110727934,-0.0005484232769725535,0.0028645437273637233,0.003087359455021692,0.005143939834128847,-0.0024682593440354846,0.0023568722434331676,-0.0013632749600637362,-0.003038464626281618,0.003179752129363077,0.0014777512350807374
0.0,-0.00030028600043811935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003497224668102185,0.0007864072157399686,0.001111747003472597,-0.006955427051705318,0.0,-0.0025523038237350265,-0.0005411231493562878,0.001712252387614321,0.00980140262858322,-0.0011753578290730697,0.0013553984202234748,0.0031059728711187035,0.0036870664462217945,-0.0020664776789880383,0.0008274782639681904,-0.001036932232904415,-0.0021464342752644753,0.002588875227796431,0.0019182708424684005
0.0,0.0,0.000402529298931655,0.0,0.0,-0.0002458491187978054,-0.0002536611397332424,-0.0003050046604257744,0.0,-0.003590259668806373,0.0009130969584835693,0.0010090164953130481,-0.006688715634501795,0.0,-0.0027075006391290195,-0.0007710896855750534,0.0017199016186895558,0.00946630654093578,-0.001247339066271653,0.0015886330975883572,0.0026151747314747476,0.0034001383930052477,-0.002230563959836584,0.0010562464142296788,-0.00120543046831051,-0.0021942169688935744,0.002679155656215265,0.002008757749389834
0.0,0.0,0.00018005518982595455,0.0,0.0002978322329092567,-0.00018311098686571068,0.0,-0.00013368304601799012,0.0,-0.0027971872313642815,0.0007036532635768562,-0.00074618803253926,-0.004897452162715288,0.0,-0.0024001296078850795,0.008273237149055427,0.0009484549602460663,0.010720422362368016,-0.0012429129993683952,0.001463115538828102,0.002404964451282841,0.00371813930535731,-0.002355465212198138,0.0006310816442212603,-0.00021492190488902902,-0.0015763396179636218,0.0016885892631236423,0.0007924941069598905
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003110653820759519,0.00026029870768725136,0.0,-0.005971384184800192,0.0,-0.002425676055578063,-0.00038478663069303667,0.0016192905981551636,0.009731467908452349,-0.0006928821795797146,0.0016681721769356082,0.0027976136451024576,0.003949403918093591,-0.0017355016647409964,0.000915985489977487,-0.00015870918504416433,-0.0019206084369247376,0.0024561571619035375,0.0016199457782364948
0.0,0.0,0.0,-0.00016026379537975477,0.0,0.0,0.00043556468052179895,0.0,0.0004261655179402466,-0.0035392890187873455,0.0008300275477682932,0.001034170828669203,-0.006659386042488848,0.0,-0.0023730082066652984,-0.00046033180636535494,0.001436679592683097,0.009925466406703855,-0.0006917955963873818,0.001672300110066736,0.002716724339539302,0.003425835606279664,-0.0022501222061668603,0.0007116643072947469,-0.001527270494288719,-0.0025677255280517866,0.002554913450609766,0.0019652032667765752
0.0,-0.00040905825011009606,0.0,0.00015763998940175844,0.000336634677436265,0.0,0.0,0.0,0.0,-0.003101008613349593,0.0006244156128824364,0.0,-0.0061651963396249536,0.0,-0.00232626196969226,-0.00029278786342664813,0.0019130463653273036,0.009917039394919546,-0.0008511744932147753,0.0015317700878324492,0.002776519052199083,0.0035918507359512884,-0.0020755081723019975,0.0014207758050760464,-0.0003571004425462245,-0.0017828197807855785,0.002296459583766526,0.0014504547435107396
0.0,0.0,0.0,0.0,-0.00034999858018229226,0.0,-7.498066323946568e-05,-0.00023744826732295852,0.0,-0.002621072451341198,0.000560791828615962,-0.0007286841986437475,-0.005113320673518969,0.0,-0.0024866197928279624,0.008075261159874964,0.0007426325672232177,0.010708691905940848,-0.0009569214775824858,0.0017986829972745733,0.002463739167023711,0.003691064059702548,-0.002532605526536456,0.0011281873368092893,-0.00037236345698011636,-0.0018487680082825639,0.0015850623934237197,0.0007915273083276572
0.0,0.0,0.0,0.0006484725723371707,0.0,0.00023400322675901908,-4.984202584975667e-05,0.0,0.0,-0.0036538529989418632,0.0005936139273665512,0.0008747800656163721,-0.006933925505302609,0.0,-0.0023046069153423144,-0.0008894696306361257,0.001619388135135384,0.009833648057367403,-0.0009746350451416963,0.0014792545365603163,0.0024510813790882017,0.0033055597353762825,-0.0023198917071824217,0.00038017763259653076,-0.0007595296350252726,-0.002240456926771781,0.003320350376667988,0.001970450730713841
